Bandit,Reward,Algorithm
3,2.814161446514007,EpsilonGreedy
3,5.308066625014349,EpsilonGreedy
3,3.46327863199484,EpsilonGreedy
3,3.6388896612145456,EpsilonGreedy
3,4.963658982759314,EpsilonGreedy
3,3.5327941646642342,EpsilonGreedy
3,3.958047270579824,EpsilonGreedy
3,4.273707409547592,EpsilonGreedy
3,2.757438295758883,EpsilonGreedy
3,3.885310149759623,EpsilonGreedy
3,5.384783953646725,EpsilonGreedy
3,3.5540361675542127,EpsilonGreedy
3,5.999544745051705,EpsilonGreedy
3,3.9940635356543384,EpsilonGreedy
3,4.580165122531756,EpsilonGreedy
3,3.0387789358563864,EpsilonGreedy
3,5.926472515120481,EpsilonGreedy
3,3.4651004928288396,EpsilonGreedy
3,3.387132985184021,EpsilonGreedy
3,2.894622134716691,EpsilonGreedy
3,2.6163224075556974,EpsilonGreedy
3,5.66710274665956,EpsilonGreedy
3,4.013587062799078,EpsilonGreedy
3,4.676222837458741,EpsilonGreedy
3,3.69159514164894,EpsilonGreedy
3,3.7335745648089533,EpsilonGreedy
3,3.0390604036846023,EpsilonGreedy
3,4.157227605612191,EpsilonGreedy
3,1.9799722893381118,EpsilonGreedy
3,3.996123844060765,EpsilonGreedy
3,3.1917814714552026,EpsilonGreedy
3,2.8445150789873708,EpsilonGreedy
3,5.172396657349512,EpsilonGreedy
3,3.4906707919541557,EpsilonGreedy
3,5.165176704903879,EpsilonGreedy
3,2.2229707250114443,EpsilonGreedy
3,5.225986293559338,EpsilonGreedy
3,4.057986740610682,EpsilonGreedy
3,3.1956431352804375,EpsilonGreedy
3,3.9828256077253075,EpsilonGreedy
3,2.907383757688908,EpsilonGreedy
3,7.404601164641712,EpsilonGreedy
3,0.8289672536722361,EpsilonGreedy
3,4.624429112141519,EpsilonGreedy
3,3.1547483157218497,EpsilonGreedy
3,5.444993270107316,EpsilonGreedy
3,3.1667213073563776,EpsilonGreedy
3,4.108390009804816,EpsilonGreedy
3,3.8125444361101257,EpsilonGreedy
3,3.912914857233844,EpsilonGreedy
3,5.294978638753908,EpsilonGreedy
3,3.819134982076586,EpsilonGreedy
3,3.5874012208296358,EpsilonGreedy
3,6.489963863911261,EpsilonGreedy
3,4.403471846554591,EpsilonGreedy
3,3.6138414734440683,EpsilonGreedy
3,3.606444481965934,EpsilonGreedy
3,3.965983853995886,EpsilonGreedy
3,3.3354324542514684,EpsilonGreedy
3,2.068329614544835,EpsilonGreedy
3,1.7871773820913566,EpsilonGreedy
3,3.332750780488878,EpsilonGreedy
3,3.186877614110345,EpsilonGreedy
3,4.141968616070689,EpsilonGreedy
3,3.142981714277338,EpsilonGreedy
3,3.6907300588650256,EpsilonGreedy
3,4.222309262628954,EpsilonGreedy
3,3.047085102707204,EpsilonGreedy
3,3.3298229088204074,EpsilonGreedy
3,5.153406055494235,EpsilonGreedy
3,4.465416348440781,EpsilonGreedy
0,2.3445405242512742,EpsilonGreedy
3,3.213434184259675,EpsilonGreedy
3,4.764088536698777,EpsilonGreedy
3,3.6369891001735963,EpsilonGreedy
3,3.9505416231743786,EpsilonGreedy
3,3.0155236866661754,EpsilonGreedy
3,3.060301634426012,EpsilonGreedy
3,3.6895861700405086,EpsilonGreedy
3,2.296544720087259,EpsilonGreedy
3,3.4354417138768034,EpsilonGreedy
3,3.1778675672329393,EpsilonGreedy
3,2.156981769279872,EpsilonGreedy
3,5.076321110266289,EpsilonGreedy
3,3.777333033313862,EpsilonGreedy
3,3.8083173839569833,EpsilonGreedy
3,4.949686989431157,EpsilonGreedy
3,4.544623825749878,EpsilonGreedy
3,2.6718546068940316,EpsilonGreedy
3,6.225835994657582,EpsilonGreedy
3,4.128309081282241,EpsilonGreedy
3,4.9653852676693475,EpsilonGreedy
3,3.426513210802483,EpsilonGreedy
3,3.962275296605144,EpsilonGreedy
3,4.519772270150568,EpsilonGreedy
3,6.249708892947951,EpsilonGreedy
3,2.8095884549610135,EpsilonGreedy
3,4.694986155971606,EpsilonGreedy
3,3.903285861991781,EpsilonGreedy
3,6.060329515117818,EpsilonGreedy
3,2.487644108135857,EpsilonGreedy
3,2.6428640540397135,EpsilonGreedy
3,4.247309610255318,EpsilonGreedy
3,2.5266390806078016,EpsilonGreedy
3,2.2940218053072785,EpsilonGreedy
3,3.9945136658021227,EpsilonGreedy
3,4.484835550413497,EpsilonGreedy
3,3.4731322762881853,EpsilonGreedy
3,3.9637650977545755,EpsilonGreedy
3,4.372288074410776,EpsilonGreedy
3,6.841275297217707,EpsilonGreedy
3,5.081953515874125,EpsilonGreedy
3,4.64349546994801,EpsilonGreedy
3,4.25433340699268,EpsilonGreedy
3,3.5459755564476176,EpsilonGreedy
3,4.99453567610173,EpsilonGreedy
3,2.910914530584426,EpsilonGreedy
3,4.607104659404137,EpsilonGreedy
3,4.995094226269678,EpsilonGreedy
3,3.1423535641033102,EpsilonGreedy
3,5.639176093868369,EpsilonGreedy
3,2.768676441315618,EpsilonGreedy
3,5.550461955806827,EpsilonGreedy
3,4.595295876563686,EpsilonGreedy
3,3.773678794029882,EpsilonGreedy
3,4.510566135828534,EpsilonGreedy
3,3.074149737912487,EpsilonGreedy
3,2.9409761545135797,EpsilonGreedy
3,2.2436137993120377,EpsilonGreedy
3,3.05455283179288,EpsilonGreedy
3,4.853080134144401,EpsilonGreedy
3,3.687817324385451,EpsilonGreedy
3,6.067582494809023,EpsilonGreedy
3,3.2431158787226635,EpsilonGreedy
3,2.357539664950619,EpsilonGreedy
3,3.295784354134545,EpsilonGreedy
